name,category,date,amount_liters,created_at
VINHO DE MESA,VINHO DE MESA,1970-12-21,217.208.604,2025-01-04 06:01:33.686581
Tinto,VINHO DE MESA,1970-12-21,174.224.052,2025-01-04 06:01:34.086762
Branco,VINHO DE MESA,1970-12-21,748.400,2025-01-04 06:01:34.184606
Rosado,VINHO DE MESA,1970-12-21,42.236.152,2025-01-04 06:01:34.217636
VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),1970-12-21,23.899.346,2025-01-04 06:01:34.531821
Tinto,VINHO FINO DE MESA (VINIFERA),1970-12-21,7.591.557,2025-01-04 06:01:34.669007
Branco,VINHO FINO DE MESA (VINIFERA),1970-12-21,15.562.889,2025-01-04 06:01:35.085450
Rosado,VINHO FINO DE MESA (VINIFERA),1970-12-21,744.900,2025-01-04 06:01:35.118967
SUCO,SUCO,1970-12-21,1.097.771,2025-01-04 06:01:35.297151
Suco de uva integral,SUCO,1970-12-21,1.097.771,2025-01-04 06:01:35.646608
Suco de uva concentrado,SUCO,1970-12-21,-,2025-01-04 06:01:35.677248
Suco de uva adoçado,SUCO,1970-12-21,-,2025-01-04 06:01:35.704524
Suco de uva orgânico,SUCO,1970-12-21,-,2025-01-04 06:01:35.732797
Suco de uva reconstituído,SUCO,1970-12-21,-,2025-01-04 06:01:35.852166
DERIVADOS,DERIVADOS,1970-12-21,14.164.329,2025-01-04 06:01:35.909028
Espumante,DERIVADOS,1970-12-21,-,2025-01-04 06:01:35.938142
Espumante moscatel,DERIVADOS,1970-12-21,-,2025-01-04 06:01:35.967222
Base espumante,DERIVADOS,1970-12-21,-,2025-01-04 06:01:35.995884
Base espumante moscatel,DERIVADOS,1970-12-21,-,2025-01-04 06:01:36.039164
Base Champenoise champanha,DERIVADOS,1970-12-21,-,2025-01-04 06:01:36.073774
Base Charmat champanha,DERIVADOS,1970-12-21,-,2025-01-04 06:01:36.179619
Bebida de uva,DERIVADOS,1970-12-21,-,2025-01-04 06:01:36.275618
Polpa de uva,DERIVADOS,1970-12-21,-,2025-01-04 06:01:36.441554
Mosto simples,DERIVADOS,1970-12-21,7.170.736,2025-01-04 06:01:36.489539
Mosto concentrado,DERIVADOS,1970-12-21,-,2025-01-04 06:01:36.566130
Mosto de uva com bagaço,DERIVADOS,1970-12-21,-,2025-01-04 06:01:36.648567
Mosto dessulfitado,DERIVADOS,1970-12-21,-,2025-01-04 06:01:36.826495
Mistelas,DERIVADOS,1970-12-21,1.072.100,2025-01-04 06:01:36.995405
Néctar de uva,DERIVADOS,1970-12-21,-,2025-01-04 06:01:37.036014
Licorosos,DERIVADOS,1970-12-21,282.500,2025-01-04 06:01:37.083898
Compostos,DERIVADOS,1970-12-21,-,2025-01-04 06:01:37.272744
Jeropiga,DERIVADOS,1970-12-21,-,2025-01-04 06:01:37.757570
Filtrado,DERIVADOS,1970-12-21,-,2025-01-04 06:01:37.976553
Frisante,DERIVADOS,1970-12-21,-,2025-01-04 06:01:38.102790
Vinho leve,DERIVADOS,1970-12-21,-,2025-01-04 06:01:38.141691
Vinho licoroso,DERIVADOS,1970-12-21,-,2025-01-04 06:01:38.346869
Brandy,DERIVADOS,1970-12-21,-,2025-01-04 06:01:38.544778
Destilado,DERIVADOS,1970-12-21,830.030,2025-01-04 06:01:38.647005
Bagaceira,DERIVADOS,1970-12-21,961.290,2025-01-04 06:01:38.796370
Licor de bagaceira,DERIVADOS,1970-12-21,-,2025-01-04 06:01:38.823817
Vinagre,DERIVADOS,1970-12-21,-,2025-01-04 06:01:38.850749
Borra líquida,DERIVADOS,1970-12-21,3.847.673,2025-01-04 06:01:38.919103
Borra seca,DERIVADOS,1970-12-21,-,2025-01-04 06:01:38.949620
Vinho Composto,DERIVADOS,1970-12-21,-,2025-01-04 06:01:39.568926
Pisco,DERIVADOS,1970-12-21,-,2025-01-04 06:01:39.726837
Vinho orgânico,DERIVADOS,1970-12-21,-,2025-01-04 06:01:39.861369
Espumante orgânico,DERIVADOS,1970-12-21,-,2025-01-04 06:01:39.891250
Destilado alcoólico simples de bagaceira,DERIVADOS,1970-12-21,-,2025-01-04 06:01:39.917550
Vinho acidificado,DERIVADOS,1970-12-21,-,2025-01-04 06:01:40.107650
Mosto parcialmente fermentado,DERIVADOS,1970-12-21,-,2025-01-04 06:01:40.147880
Outros derivados,DERIVADOS,1970-12-21,-,2025-01-04 06:01:40.186024
Total,Total,1970-12-21,256.370.050,2025-01-04 06:01:40.224405
VINHO DE MESA,VINHO DE MESA,1971-12-21,154.264.651,2025-01-04 06:01:44.599274
Tinto,VINHO DE MESA,1971-12-21,121.133.369,2025-01-04 06:01:44.717553
Branco,VINHO DE MESA,1971-12-21,1.160.500,2025-01-04 06:01:44.794361
Rosado,VINHO DE MESA,1971-12-21,31.970.782,2025-01-04 06:01:44.823820
VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),1971-12-21,23.586.062,2025-01-04 06:01:44.918276
Tinto,VINHO FINO DE MESA (VINIFERA),1971-12-21,7.265.666,2025-01-04 06:01:44.946793
Branco,VINHO FINO DE MESA (VINIFERA),1971-12-21,15.655.709,2025-01-04 06:01:44.973891
Rosado,VINHO FINO DE MESA (VINIFERA),1971-12-21,664.687,2025-01-04 06:01:45.095005
SUCO,SUCO,1971-12-21,2.296.654,2025-01-04 06:01:45.194514
Suco de uva integral,SUCO,1971-12-21,2.296.654,2025-01-04 06:01:45.293627
Suco de uva concentrado,SUCO,1971-12-21,-,2025-01-04 06:01:45.502708
Suco de uva adoçado,SUCO,1971-12-21,-,2025-01-04 06:01:45.697377
Suco de uva orgânico,SUCO,1971-12-21,-,2025-01-04 06:01:45.876240
Suco de uva reconstituído,SUCO,1971-12-21,-,2025-01-04 06:01:45.905835
DERIVADOS,DERIVADOS,1971-12-21,13.280.518,2025-01-04 06:01:45.997422
Espumante,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.029363
Espumante moscatel,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.060967
Base espumante,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.263718
Base espumante moscatel,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.350395
Base Champenoise champanha,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.506983
Base Charmat champanha,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.536736
Bebida de uva,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.563049
Polpa de uva,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.629743
Mosto simples,DERIVADOS,1971-12-21,7.646.774,2025-01-04 06:01:46.654430
Mosto concentrado,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.702661
Mosto de uva com bagaço,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.729798
Mosto dessulfitado,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.757398
Mistelas,DERIVADOS,1971-12-21,818.400,2025-01-04 06:01:46.825476
Néctar de uva,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.851555
Licorosos,DERIVADOS,1971-12-21,270.000,2025-01-04 06:01:46.879895
Compostos,DERIVADOS,1971-12-21,45.000,2025-01-04 06:01:46.906832
Jeropiga,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.933491
Filtrado,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.081024
Frisante,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.120623
Vinho leve,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.159034
Vinho licoroso,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.213605
Brandy,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.266368
Destilado,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.320949
Bagaceira,DERIVADOS,1971-12-21,913.200,2025-01-04 06:01:47.351815
Licor de bagaceira,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.381954
Vinagre,DERIVADOS,1971-12-21,21.500,2025-01-04 06:01:47.409861
Borra líquida,DERIVADOS,1971-12-21,3.565.644,2025-01-04 06:01:47.434295
Borra seca,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.459235
Vinho Composto,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.484821
Pisco,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.510581
Vinho orgânico,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.659786
